G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
31,2023-12-28,,,Box Score,@,Boston Celtics,L,OT,122,128,2,29,B. Bogdanović · C. Cunningham · J. Duren · J. Ivey · K. Knox
32,2023-12-30,,,Box Score,,Toronto Raptors,W,,129,127,3,29,B. Bogdanović · C. Cunningham · J. Duren · J. Ivey · K. Knox
33,2024-01-01,,,Box Score,@,Houston Rockets,L,,113,136,3,30,B. Bogdanović · C. Cunningham · J. Duren · J. Ivey · K. Knox
34,2024-01-03,,,Box Score,@,Utah Jazz,L,OT,148,154,3,31,B. Bogdanović · C. Cunningham · J. Duren · J. Ivey · I. Livers
35,2024-01-05,,,Box Score,@,Golden State Warriors,L,,109,113,3,32,B. Bogdanović · C. Cunningham · J. Duren · J. Ivey · I. Livers
36,2024-01-07,,,Box Score,@,Denver Nuggets,L,,114,131,3,33,B. Bogdanović · C. Cunningham · J. Duren · J. Ivey · I. Livers
37,2024-01-09,,,Box Score,,Sacramento Kings,L,,110,131,3,34,B. Bogdanović · J. Duren · K. Hayes · J. Ivey · I. Livers
38,2024-01-10,,,Box Score,,San Antonio Spurs,L,,108,130,3,35,B. Bogdanović · J. Duren · K. Hayes · J. Ivey · I. Livers
39,2024-01-12,,,Box Score,,Houston Rockets,L,,110,112,3,36,J. Duren · K. Hayes · J. Ivey · K. Knox · I. Stewart
40,2024-01-15,,,Box Score,@,Washington Wizards,W,,129,117,4,36,J. Duren · K. Hayes · J. Ivey · K. Knox · I. Stewart
41,2024-01-17,,,Box Score,,Minnesota Timberwolves,L,,117,124,4,37,B. Bogdanović · J. Duren · K. Hayes · J. Ivey · I. Stewart
42,2024-01-20,,,Box Score,,Milwaukee Bucks,L,,135,141,4,38,B. Bogdanović · J. Duren · K. Hayes · J. Ivey · K. Knox
43,2024-01-22,,,Box Score,,Milwaukee Bucks,L,,113,122,4,39,B. Bogdanović · J. Duren · K. Hayes · J. Ivey · K. Knox
44,2024-01-24,,,Box Score,,Charlotte Hornets,W,,113,106,5,39,B. Bogdanović · J. Duren · K. Hayes · J. Ivey · I. Stewart
45,2024-01-27,,,Box Score,,Washington Wizards,L,,104,118,5,40,B. Bogdanović · C. Cunningham · J. Duren · J. Ivey · I. Stewart
46,2024-01-28,,,Box Score,,Oklahoma City Thunder,W,,120,104,6,40,B. Bogdanović · J. Duren · K. Hayes · J. Ivey · I. Stewart
47,2024-01-31,,,Box Score,@,Cleveland Cavaliers,L,,121,128,6,41,B. Bogdanović · C. Cunningham · J. Duren · J. Ivey · M. Muscala
48,2024-02-02,,,Box Score,,Los Angeles Clippers,L,,125,136,6,42,B. Bogdanović · C. Cunningham · J. Duren · J. Ivey · K. Knox
49,2024-02-04,,,Box Score,,Orlando Magic,L,,99,111,6,43,B. Bogdanović · C. Cunningham · J. Duren · J. Ivey · K. Knox
50,2024-02-07,,,Box Score,@,Sacramento Kings,W,,133,120,7,43,J. Duren · K. Hayes · J. Ivey · M. Muscala · A. Thompson
51,2024-02-08,,,Box Score,@,Portland Trail Blazers,W,OT,128,122,8,43,C. Cunningham · J. Duren · J. Ivey · M. Muscala · A. Thompson
52,2024-02-10,,,Box Score,@,Los Angeles Clippers,L,,106,112,8,44,C. Cunningham · J. Duren · J. Ivey · M. Muscala · A. Thompson
53,2024-02-13,,,Box Score,@,Los Angeles Lakers,L,,111,125,8,45,C. Cunningham · J. Duren · S. Fontecchio · J. Ivey · A. Thompson
54,2024-02-14,,,Box Score,@,Phoenix Suns,L,,100,116,8,46,C. Cunningham · J. Duren · S. Fontecchio · J. Ivey · A. Thompson
55,2024-02-22,,,Box Score,@,Indiana Pacers,L,,115,129,8,47,C. Cunningham · J. Duren · S. Fontecchio · J. Ivey · A. Thompson
56,2024-02-24,,,Box Score,,Orlando Magic,L,,109,112,8,48,C. Cunningham · J. Duren · S. Fontecchio · J. Ivey · A. Thompson
57,2024-02-26,,,Box Score,@,New York Knicks,L,,111,113,8,49,C. Cunningham · J. Duren · S. Fontecchio · J. Ivey · A. Thompson
58,2024-02-27,,,Box Score,@,Chicago Bulls,W,,105,95,9,49,C. Cunningham · J. Duren · J. Ivey · I. Stewart · A. Thompson
59,2024-03-01,,,Box Score,,Cleveland Cavaliers,L,,100,110,9,50,C. Cunningham · J. Duren · J. Ivey · I. Stewart · A. Thompson
60,2024-03-03,,,Box Score,@,Orlando Magic,L,,91,113,9,51,C. Cunningham · J. Duren · J. Ivey · I. Stewart · A. Thompson
61,2024-03-05,,,Box Score,@,Miami Heat,L,,110,118,9,52,C. Cunningham · J. Duren · J. Ivey · I. Stewart · A. Thompson
62,2024-03-07,,,Box Score,,Brooklyn Nets,W,,118,112,10,52,C. Cunningham · J. Duren · J. Ivey · I. Stewart · A. Thompson
63,2024-03-09,,,Box Score,,Dallas Mavericks,L,,124,142,10,53,C. Cunningham · J. Duren · J. Ivey · I. Stewart · A. Thompson
64,2024-03-11,,,Box Score,,Charlotte Hornets,W,,114,97,11,53,C. Cunningham · J. Duren · S. Fontecchio · J. Ivey · I. Stewart
65,2024-03-13,,,Box Score,,Toronto Raptors,W,,113,104,12,53,C. Cunningham · J. Duren · S. Fontecchio · J. Ivey · I. Stewart
66,2024-03-15,,,Box Score,,Miami Heat,L,,95,108,12,54,C. Cunningham · J. Duren · S. Fontecchio · J. Ivey · I. Stewart
67,2024-03-17,,,Box Score,,Miami Heat,L,,101,104,12,55,C. Cunningham · J. Duren · S. Fontecchio · J. Ivey · I. Stewart
68,2024-03-18,,,Box Score,@,Boston Celtics,L,,94,119,12,56,J. Duren · J. Ivey · M. Sasser · I. Stewart · S. Umude
69,2024-03-20,,,Box Score,,Indiana Pacers,L,,103,122,12,57,C. Cunningham · J. Duren · T. Evbuomwan · J. Ivey · S. Umude
70,2024-03-22,,,Box Score,,Boston Celtics,L,,102,129,12,58,T. Brown · C. Cunningham · T. Evbuomwan · J. Ivey · J. Wiseman
71,2024-03-24,,,Box Score,,New Orleans Pelicans,L,,101,114,12,59,T. Brown · J. Ivey · C. Metu · M. Sasser · J. Wiseman
72,2024-03-25,,,Box Score,@,New York Knicks,L,,99,124,12,60,T. Brown · T. Evbuomwan · J. Ivey · M. Sasser · J. Wiseman
73,2024-03-27,,,Box Score,@,Minnesota Timberwolves,L,,91,106,12,61,C. Cunningham · J. Duren · T. Evbuomwan · C. Metu · M. Sasser
74,2024-03-29,,,Box Score,@,Washington Wizards,W,,96,87,13,61,T. Brown · C. Cunningham · J. Duren · T. Evbuomwan · J. Ivey
75,2024-04-01,,,Box Score,,Memphis Grizzlies,L,,108,110,13,62,T. Brown · C. Cunningham · J. Duren · T. Evbuomwan · J. Ivey
76,2024-04-03,,,Box Score,@,Atlanta Hawks,L,,113,121,13,63,T. Brown · J. Duren · T. Evbuomwan · J. Ivey · M. Sasser
77,2024-04-05,,,Box Score,@,Memphis Grizzlies,L,,90,108,13,64,T. Brown · J. Duren · T. Evbuomwan · J. Ivey · M. Sasser
78,2024-04-06,,,Box Score,@,Brooklyn Nets,L,,103,113,13,65,T. Brown · J. Ivey · C. Metu · M. Sasser · J. Wiseman
79,2024-04-09,,,Box Score,@,Philadelphia 76ers,L,,102,120,13,66,T. Brown · J. Duren · J. Ivey · C. Metu · M. Sasser
80,2024-04-11,,,Box Score,,Chicago Bulls,L,,105,127,13,67,T. Brown · J. Duren · J. Ivey · C. Metu · M. Sasser
81,2024-04-12,,,Box Score,@,Dallas Mavericks,W,,107,89,14,67,T. Brown · J. Ivey · C. Metu · M. Sasser · J. Wiseman
82,2024-04-14,,,Box Score,@,San Antonio Spurs,L,,95,123,14,68,T. Brown · J. Ivey · C. Metu · M. Sasser · J. Wiseman
