G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
35,2024-01-02,,,Box Score,@,Philadelphia 76ers,L,,97,110,15,20,A. Caruso · D. DeRozan · A. Drummond · C. White · P. Williams
36,2024-01-03,,,Box Score,@,New York Knicks,L,,100,116,15,21,A. Caruso · D. DeRozan · A. Drummond · C. White · P. Williams
37,2024-01-05,,,Box Score,,Charlotte Hornets,W,,104,91,16,21,D. DeRozan · A. Dosunmu · A. Drummond · D. Terry · C. White
38,2024-01-08,,,Box Score,@,Charlotte Hornets,W,OT,119,112,17,21,A. Caruso · D. DeRozan · A. Drummond · C. White · P. Williams
39,2024-01-10,,,Box Score,,Houston Rockets,W,OT,124,119,18,21,A. Caruso · D. DeRozan · Z. LaVine · N. Vučević · C. White
40,2024-01-12,,,Box Score,,Golden State Warriors,L,,131,140,18,22,A. Caruso · D. DeRozan · Z. LaVine · N. Vučević · C. White
41,2024-01-13,,,Box Score,@,San Antonio Spurs,W,,122,116,19,22,A. Caruso · D. DeRozan · Z. LaVine · N. Vučević · C. White
42,2024-01-15,,,Box Score,@,Cleveland Cavaliers,L,,91,109,19,23,A. Caruso · D. DeRozan · Z. LaVine · N. Vučević · C. White
43,2024-01-18,,,Box Score,@,Toronto Raptors,W,,116,110,20,23,A. Caruso · D. DeRozan · Z. LaVine · N. Vučević · C. White
44,2024-01-20,,,Box Score,,Memphis Grizzlies,W,,125,96,21,23,A. Caruso · D. DeRozan · N. Vučević · C. White · P. Williams
45,2024-01-22,,,Box Score,@,Phoenix Suns,L,,113,115,21,24,A. Caruso · D. DeRozan · N. Vučević · C. White · P. Williams
46,2024-01-25,,,Box Score,@,Los Angeles Lakers,L,,132,141,21,25,A. Caruso · D. DeRozan · N. Vučević · C. White · P. Williams
47,2024-01-28,,,Box Score,@,Portland Trail Blazers,W,,104,96,22,25,A. Caruso · D. DeRozan · A. Dosunmu · N. Vučević · C. White
48,2024-01-30,,,Box Score,,Toronto Raptors,L,,107,118,22,26,A. Caruso · D. DeRozan · A. Dosunmu · N. Vučević · C. White
49,2024-01-31,,,Box Score,@,Charlotte Hornets,W,,117,110,23,26,A. Caruso · D. DeRozan · A. Dosunmu · N. Vučević · C. White
50,2024-02-03,,,Box Score,,Sacramento Kings,L,,115,123,23,27,A. Caruso · D. DeRozan · A. Dosunmu · N. Vučević · C. White
51,2024-02-06,,,Box Score,,Minnesota Timberwolves,W,OT,129,123,24,27,A. Caruso · D. DeRozan · A. Drummond · N. Vučević · C. White
52,2024-02-08,,,Box Score,@,Memphis Grizzlies,W,,118,110,25,27,A. Caruso · D. DeRozan · A. Dosunmu · N. Vučević · C. White
53,2024-02-10,,,Box Score,@,Orlando Magic,L,OT,108,114,25,28,A. Caruso · D. DeRozan · A. Dosunmu · N. Vučević · C. White
54,2024-02-12,,,Box Score,@,Atlanta Hawks,W,,136,126,26,28,T. Craig · D. DeRozan · A. Dosunmu · N. Vučević · C. White
55,2024-02-14,,,Box Score,@,Cleveland Cavaliers,L,,105,108,26,29,D. DeRozan · A. Dosunmu · A. Drummond · N. Vučević · C. White
56,2024-02-22,,,Box Score,,Boston Celtics,L,,112,129,26,30,A. Caruso · D. DeRozan · A. Dosunmu · N. Vučević · C. White
57,2024-02-25,,,Box Score,@,New Orleans Pelicans,W,,114,106,27,30,A. Caruso · D. DeRozan · A. Dosunmu · N. Vučević · C. White
58,2024-02-27,,,Box Score,,Detroit Pistons,L,,95,105,27,31,A. Caruso · D. DeRozan · A. Dosunmu · N. Vučević · C. White
59,2024-02-28,,,Box Score,,Cleveland Cavaliers,W,2OT,132,123,28,31,D. DeRozan · A. Dosunmu · A. Drummond · N. Vučević · C. White
60,2024-03-01,,,Box Score,,Milwaukee Bucks,L,,97,113,28,32,A. Caruso · D. DeRozan · A. Dosunmu · N. Vučević · C. White
61,2024-03-04,,,Box Score,@,Sacramento Kings,W,,113,109,29,32,A. Caruso · D. DeRozan · A. Dosunmu · N. Vučević · C. White
62,2024-03-06,,,Box Score,@,Utah Jazz,W,,119,117,30,32,A. Caruso · D. DeRozan · A. Dosunmu · N. Vučević · C. White
63,2024-03-07,,,Box Score,@,Golden State Warriors,W,,125,122,31,32,A. Caruso · D. DeRozan · A. Dosunmu · N. Vučević · C. White
64,2024-03-09,,,Box Score,@,Los Angeles Clippers,L,,102,112,31,33,A. Caruso · D. DeRozan · A. Dosunmu · N. Vučević · C. White
65,2024-03-11,,,Box Score,,Dallas Mavericks,L,,92,127,31,34,A. Caruso · D. DeRozan · A. Dosunmu · N. Vučević · C. White
66,2024-03-13,,,Box Score,@,Indiana Pacers,W,OT,132,129,32,34,A. Caruso · D. DeRozan · A. Dosunmu · N. Vučević · C. White
67,2024-03-14,,,Box Score,,Los Angeles Clippers,L,,111,126,32,35,A. Caruso · T. Craig · D. DeRozan · A. Dosunmu · N. Vučević
68,2024-03-16,,,Box Score,,Washington Wizards,W,,127,98,33,35,A. Caruso · T. Craig · D. DeRozan · A. Dosunmu · N. Vučević
69,2024-03-18,,,Box Score,,Portland Trail Blazers,W,,110,107,34,35,A. Caruso · T. Craig · D. DeRozan · A. Dosunmu · N. Vučević
70,2024-03-21,,,Box Score,@,Houston Rockets,L,,117,127,34,36,A. Caruso · T. Craig · D. DeRozan · A. Dosunmu · N. Vučević
71,2024-03-23,,,Box Score,,Boston Celtics,L,,113,124,34,37,A. Caruso · D. DeRozan · A. Dosunmu · N. Vučević · C. White
72,2024-03-25,,,Box Score,,Washington Wizards,L,,105,107,34,38,T. Craig · D. DeRozan · A. Dosunmu · N. Vučević · C. White
73,2024-03-27,,,Box Score,,Indiana Pacers,W,,125,99,35,38,A. Caruso · D. DeRozan · A. Dosunmu · N. Vučević · C. White
74,2024-03-29,,,Box Score,@,Brooklyn Nets,L,,108,125,35,39,A. Caruso · D. DeRozan · A. Dosunmu · N. Vučević · C. White
75,2024-03-31,,,Box Score,@,Minnesota Timberwolves,W,,109,101,36,39,A. Caruso · D. DeRozan · A. Dosunmu · N. Vučević · C. White
76,2024-04-01,,,Box Score,,Atlanta Hawks,L,,101,113,36,40,A. Caruso · D. DeRozan · A. Dosunmu · N. Vučević · C. White
77,2024-04-05,,,Box Score,,New York Knicks,W,,108,100,37,40,A. Caruso · D. DeRozan · A. Dosunmu · N. Vučević · C. White
78,2024-04-07,,,Box Score,@,Orlando Magic,L,,98,113,37,41,D. DeRozan · A. Dosunmu · J. Green · N. Vučević · C. White
79,2024-04-09,,,Box Score,,New York Knicks,L,,117,128,37,42,A. Caruso · D. DeRozan · J. Green · N. Vučević · C. White
80,2024-04-11,,,Box Score,@,Detroit Pistons,W,,127,105,38,42,A. Caruso · D. DeRozan · J. Green · N. Vučević · C. White
81,2024-04-12,,,Box Score,@,Washington Wizards,W,,129,127,39,42,O. Bitim · T. Craig · J. Green · D. Terry · C. White
82,2024-04-14,,,Box Score,@,New York Knicks,L,OT,119,120,39,43,A. Caruso · D. DeRozan · J. Green · N. Vučević · C. White
