G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
18,2023-12-01,,,Box Score,@,Dallas Mavericks,W,,108,94,5,13,D. Bane · B. Biyombo · J. Jackson · D. Roddy · D. Rose
19,2023-12-02,,,Box Score,@,Phoenix Suns,L,,109,116,5,14,D. Bane · B. Biyombo · J. Jackson · J. Nowell · D. Roddy
20,2023-12-06,,,Box Score,@,Detroit Pistons,W,,116,102,6,14,D. Bane · B. Biyombo · J. Jackson · D. Roddy · D. Rose
21,2023-12-08,,,Box Score,,Minnesota Timberwolves,L,,103,127,6,15,D. Bane · B. Biyombo · J. Jackson · D. Roddy · D. Rose
22,2023-12-11,,,Box Score,,Dallas Mavericks,L,,113,120,6,16,S. Aldama · D. Bane · J. Jackson · D. Roddy · D. Rose
23,2023-12-13,,,Box Score,@,Houston Rockets,L,,104,117,6,17,B. Biyombo · J. Jackson · D. Roddy · D. Rose · V. Williams
24,2023-12-15,,,Box Score,,Houston Rockets,L,,96,103,6,18,D. Bane · B. Biyombo · J. Jackson · D. Rose · V. Williams
25,2023-12-18,,,Box Score,@,Oklahoma City Thunder,L,,97,116,6,19,D. Bane · J. Gilyard · J. Jackson · X. Tillman · V. Williams
26,2023-12-19,,,Box Score,@,New Orleans Pelicans,W,,115,113,7,19,D. Bane · B. Biyombo · J. Jackson · J. Morant · V. Williams
27,2023-12-21,,,Box Score,,Indiana Pacers,W,,116,103,8,19,D. Bane · B. Biyombo · J. Jackson · J. Morant · V. Williams
28,2023-12-23,,,Box Score,@,Atlanta Hawks,W,,125,119,9,19,D. Bane · B. Biyombo · J. Jackson · J. Morant · V. Williams
29,2023-12-26,,,Box Score,@,New Orleans Pelicans,W,OT,116,115,10,19,D. Bane · B. Biyombo · J. Jackson · J. Morant · M. Smart
30,2023-12-28,,,Box Score,@,Denver Nuggets,L,,105,142,10,20,D. Bane · B. Biyombo · J. Jackson · M. Smart · V. Williams
31,2023-12-29,,,Box Score,@,Los Angeles Clippers,L,,106,117,10,21,D. Bane · B. Biyombo · J. Jackson · J. Morant · M. Smart
