G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
32,2023-12-31,,,Box Score,@,San Antonio Spurs,W,,134,101,26,6,J. Brown · A. Horford · K. Porziņģis · J. Tatum · D. White
33,2024-01-02,,,Box Score,@,Oklahoma City Thunder,L,,123,127,26,7,J. Brown · J. Holiday · K. Porziņģis · J. Tatum · D. White
34,2024-01-05,,,Box Score,,Utah Jazz,W,,126,97,27,7,J. Brown · J. Holiday · K. Porziņģis · J. Tatum · D. White
35,2024-01-06,,,Box Score,@,Indiana Pacers,W,,118,101,28,7,J. Brown · J. Holiday · K. Porziņģis · J. Tatum · D. White
36,2024-01-08,,,Box Score,@,Indiana Pacers,L,,131,133,28,8,J. Brown · J. Holiday · A. Horford · K. Porziņģis · D. White
37,2024-01-10,,,Box Score,,Minnesota Timberwolves,W,OT,127,120,29,8,J. Brown · J. Holiday · A. Horford · J. Tatum · D. White
38,2024-01-11,,,Box Score,@,Milwaukee Bucks,L,,102,135,29,9,J. Brown · J. Holiday · K. Porziņģis · J. Tatum · D. White
39,2024-01-13,,,Box Score,,Houston Rockets,W,,145,113,30,9,J. Brown · J. Holiday · K. Porziņģis · J. Tatum · D. White
40,2024-01-15,,,Box Score,@,Toronto Raptors,W,,105,96,31,9,J. Holiday · A. Horford · K. Porziņģis · J. Tatum · D. White
41,2024-01-17,,,Box Score,,San Antonio Spurs,W,,117,98,32,9,J. Brown · J. Holiday · A. Horford · L. Kornet · J. Tatum
42,2024-01-19,,,Box Score,,Denver Nuggets,L,,100,102,32,10,J. Brown · J. Holiday · K. Porziņģis · J. Tatum · D. White
43,2024-01-21,,,Box Score,@,Houston Rockets,W,,116,107,33,10,J. Brown · S. Hauser · K. Porziņģis · J. Tatum · D. White
44,2024-01-22,,,Box Score,@,Dallas Mavericks,W,,119,110,34,10,J. Brown · J. Holiday · A. Horford · J. Tatum · D. White
45,2024-01-25,,,Box Score,@,Miami Heat,W,,143,110,35,10,J. Brown · J. Holiday · K. Porziņģis · J. Tatum · D. White
46,2024-01-27,,,Box Score,,Los Angeles Clippers,L,,96,115,35,11,J. Brown · J. Holiday · A. Horford · J. Tatum · D. White
