G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
15,2023-11-22,,,Box Score,@,Boston Celtics,L,,116,119,10,5,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
16,2023-11-24,,,Box Score,,Washington Wizards,W,,131,128,11,5,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
17,2023-11-26,,,Box Score,,Portland Trail Blazers,W,,108,102,12,5,G. Antetokounmpo · M. Beasley · A. Jackson · D. Lillard · B. Lopez
18,2023-11-28,,,Box Score,@,Miami Heat,W,,131,124,13,5,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
19,2023-11-30,,,Box Score,@,Chicago Bulls,L,OT,113,120,13,6,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
20,2023-12-02,,,Box Score,,Atlanta Hawks,W,,132,121,14,6,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
21,2023-12-05,,,Box Score,,New York Knicks,W,,146,122,15,6,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
22,2023-12-07,,,Box Score,,Indiana Pacers,L,,119,128,15,7,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
23,2023-12-11,,,Box Score,,Chicago Bulls,W,OT,133,129,16,7,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
24,2023-12-13,,,Box Score,,Indiana Pacers,W,,140,126,17,7,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
25,2023-12-16,,,Box Score,,Detroit Pistons,W,,146,114,18,7,G. Antetokounmpo · M. Beauchamp · A. Jackson · D. Lillard · B. Lopez
26,2023-12-17,,,Box Score,,Houston Rockets,W,,128,119,19,7,G. Antetokounmpo · A. Jackson · D. Lillard · B. Lopez · K. Middleton
27,2023-12-19,,,Box Score,,San Antonio Spurs,W,,132,119,20,7,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
28,2023-12-21,,,Box Score,,Orlando Magic,W,,118,114,21,7,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
29,2023-12-23,,,Box Score,@,New York Knicks,W,,130,111,22,7,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
30,2023-12-25,,,Box Score,@,New York Knicks,L,,122,129,22,8,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
31,2023-12-27,,,Box Score,@,Brooklyn Nets,W,,144,122,23,8,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
32,2023-12-29,,,Box Score,@,Cleveland Cavaliers,W,,119,111,24,8,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
33,2024-01-01,,,Box Score,,Indiana Pacers,L,,113,122,24,9,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
34,2024-01-03,,,Box Score,@,Indiana Pacers,L,,130,142,24,10,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
35,2024-01-04,,,Box Score,@,San Antonio Spurs,W,,125,121,25,10,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
36,2024-01-06,,,Box Score,@,Houston Rockets,L,,108,112,25,11,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
37,2024-01-08,,,Box Score,,Utah Jazz,L,,116,132,25,12,G. Antetokounmpo · M. Beasley · A. Jackson · B. Lopez · K. Middleton
38,2024-01-11,,,Box Score,,Boston Celtics,W,,135,102,26,12,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
39,2024-01-13,,,Box Score,,Golden State Warriors,W,,129,118,27,12,G. Antetokounmpo · M. Beasley · D. Lillard · B. Lopez · K. Middleton
