G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
29,2023-12-25,,,Box Score,@,Miami Heat,L,,113,119,20,9,T. Harris · T. Maxey · D. Melton · K. Oubre · P. Reed
30,2023-12-27,,,Box Score,@,Orlando Magic,W,,112,92,21,9,T. Harris · T. Maxey · D. Melton · K. Oubre · P. Reed
31,2023-12-29,,,Box Score,@,Houston Rockets,W,,131,127,22,9,T. Harris · T. Maxey · D. Melton · K. Oubre · P. Reed
32,2023-12-30,,,Box Score,@,Chicago Bulls,L,,92,105,22,10,T. Harris · T. Maxey · D. Melton · K. Oubre · P. Reed
33,2024-01-02,,,Box Score,,Chicago Bulls,W,,110,97,23,10,N. Batum · J. Embiid · T. Harris · T. Maxey · K. Oubre
34,2024-01-05,,,Box Score,,New York Knicks,L,,92,128,23,11,N. Batum · J. Embiid · T. Harris · T. Maxey · K. Oubre
35,2024-01-06,,,Box Score,,Utah Jazz,L,,109,120,23,12,N. Batum · T. Maxey · M. Morris · K. Oubre · P. Reed
36,2024-01-10,,,Box Score,@,Atlanta Hawks,L,OT,132,139,23,13,N. Batum · T. Harris · T. Maxey · D. Melton · P. Reed
37,2024-01-12,,,Box Score,,Sacramento Kings,W,,112,93,24,13,N. Batum · T. Harris · T. Maxey · D. Melton · P. Reed
38,2024-01-15,,,Box Score,,Houston Rockets,W,,124,115,25,13,N. Batum · J. Embiid · T. Harris · T. Maxey · K. Oubre
39,2024-01-16,,,Box Score,,Denver Nuggets,W,,126,121,26,13,N. Batum · J. Embiid · T. Harris · T. Maxey · K. Oubre
40,2024-01-19,,,Box Score,@,Orlando Magic,W,,124,109,27,13,N. Batum · J. Embiid · T. Harris · T. Maxey · K. Oubre
41,2024-01-20,,,Box Score,@,Charlotte Hornets,W,,97,89,28,13,N. Batum · J. Embiid · T. Harris · T. Maxey · K. Oubre
42,2024-01-22,,,Box Score,,San Antonio Spurs,W,,133,123,29,13,N. Batum · J. Embiid · T. Harris · T. Maxey · K. Oubre
43,2024-01-25,,,Box Score,@,Indiana Pacers,L,,122,134,29,14,N. Batum · P. Beverley · J. Embiid · T. Maxey · K. Oubre
44,2024-01-27,,,Box Score,@,Denver Nuggets,L,,105,111,29,15,N. Batum · P. Beverley · M. Morris · K. Oubre · P. Reed
45,2024-01-29,,,Box Score,@,Portland Trail Blazers,L,,104,130,29,16,N. Batum · P. Beverley · T. Harris · K. Oubre · P. Reed
46,2024-01-30,,,Box Score,@,Golden State Warriors,L,,107,119,29,17,P. Beverley · J. Embiid · T. Harris · D. House · K. Oubre
47,2024-02-01,,,Box Score,@,Utah Jazz,W,,127,124,30,17,T. Harris · D. House · T. Maxey · K. Oubre · P. Reed
48,2024-02-03,,,Box Score,,Brooklyn Nets,L,,121,136,30,18,D. House · T. Maxey · M. Morris · K. Oubre · P. Reed
49,2024-02-05,,,Box Score,,Dallas Mavericks,L,,102,118,30,19,T. Harris · D. House · T. Maxey · K. Oubre · P. Reed
50,2024-02-07,,,Box Score,,Golden State Warriors,L,,104,127,30,20,T. Harris · T. Maxey · K. Oubre · P. Reed · J. Springer
51,2024-02-09,,,Box Score,,Atlanta Hawks,L,,121,127,30,21,T. Harris · B. Hield · K. Oubre · C. Payne · P. Reed
52,2024-02-10,,,Box Score,@,Washington Wizards,W,,119,113,31,21,T. Harris · B. Hield · T. Maxey · K. Oubre · P. Reed
53,2024-02-12,,,Box Score,@,Cleveland Cavaliers,W,,123,121,32,21,B. Hield · K. Martin · T. Maxey · K. Oubre · P. Reed
54,2024-02-14,,,Box Score,,Miami Heat,L,,104,109,32,22,B. Hield · K. Martin · T. Maxey · K. Oubre · P. Reed
55,2024-02-22,,,Box Score,,New York Knicks,L,,96,110,32,23,N. Batum · T. Harris · B. Hield · T. Maxey · P. Reed
56,2024-02-23,,,Box Score,,Cleveland Cavaliers,W,,104,97,33,23,T. Harris · B. Hield · T. Maxey · K. Oubre · P. Reed
57,2024-02-25,,,Box Score,,Milwaukee Bucks,L,,98,119,33,24,N. Batum · T. Harris · B. Hield · T. Maxey · P. Reed
58,2024-02-27,,,Box Score,@,Boston Celtics,L,,99,117,33,25,T. Harris · B. Hield · T. Maxey · K. Oubre · P. Reed
59,2024-03-01,,,Box Score,,Charlotte Hornets,W,,121,114,34,25,M. Bamba · T. Harris · B. Hield · K. Lowry · T. Maxey
60,2024-03-03,,,Box Score,@,Dallas Mavericks,W,,120,116,35,25,M. Bamba · T. Harris · B. Hield · K. Lowry · T. Maxey
61,2024-03-05,,,Box Score,@,Brooklyn Nets,L,,107,112,35,26,M. Bamba · T. Harris · B. Hield · K. Lowry · C. Payne
62,2024-03-06,,,Box Score,,Memphis Grizzlies,L,,109,115,35,27,N. Batum · T. Harris · B. Hield · C. Payne · P. Reed
63,2024-03-08,,,Box Score,,New Orleans Pelicans,L,,95,103,35,28,M. Bamba · T. Harris · B. Hield · K. Lowry · K. Oubre
64,2024-03-10,,,Box Score,@,New York Knicks,W,,79,73,36,28,M. Bamba · T. Harris · K. Lowry · K. Oubre · C. Payne
