G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
30,2023-12-25,,,Box Score,@,Phoenix Suns,W,,128,114,18,12,L. Dončić · D. Exum · T. Hardaway · D. Jones · D. Lively
31,2023-12-27,,,Box Score,,Cleveland Cavaliers,L,,110,113,18,13,L. Dončić · D. Exum · T. Hardaway · D. Jones · D. Lively
32,2023-12-28,,,Box Score,@,Minnesota Timberwolves,L,,110,118,18,14,D. Exum · J. Hardy · D. Jones · D. Lively · G. Williams
33,2023-12-30,,,Box Score,@,Golden State Warriors,W,,132,122,19,14,L. Dončić · D. Exum · J. Hardy · D. Jones · D. Lively
34,2024-01-01,,,Box Score,@,Utah Jazz,L,,90,127,19,15,L. Dončić · D. Exum · K. Irving · D. Jones · D. Lively
35,2024-01-03,,,Box Score,,Portland Trail Blazers,W,,126,97,20,15,L. Dončić · J. Green · K. Irving · D. Jones · D. Lively
36,2024-01-05,,,Box Score,,Portland Trail Blazers,W,,139,103,21,15,J. Green · J. Hardy · K. Irving · D. Jones · D. Powell
37,2024-01-07,,,Box Score,,Minnesota Timberwolves,W,,115,108,22,15,L. Dončić · J. Green · K. Irving · D. Jones · D. Powell
38,2024-01-09,,,Box Score,,Memphis Grizzlies,L,,103,120,22,16,L. Dončić · J. Green · K. Irving · D. Jones · D. Powell
39,2024-01-11,,,Box Score,,New York Knicks,W,,128,124,23,16,J. Green · T. Hardaway · K. Irving · D. Jones · D. Powell
40,2024-01-13,,,Box Score,,New Orleans Pelicans,L,,108,118,23,17,J. Green · T. Hardaway · K. Irving · D. Jones · D. Powell
41,2024-01-15,,,Box Score,,New Orleans Pelicans,W,,125,120,24,17,J. Green · T. Hardaway · K. Irving · M. Kleber · D. Lively
42,2024-01-17,,,Box Score,@,Los Angeles Lakers,L,,110,127,24,18,L. Dončić · T. Hardaway · K. Irving · D. Jones · D. Lively
43,2024-01-22,,,Box Score,,Boston Celtics,L,,110,119,24,19,L. Dončić · J. Green · K. Irving · D. Jones · D. Lively
44,2024-01-24,,,Box Score,,Phoenix Suns,L,,109,132,24,20,L. Dončić · J. Green · D. Jones · D. Lively · G. Williams
45,2024-01-26,,,Box Score,@,Atlanta Hawks,W,,148,143,25,20,L. Dončić · J. Green · D. Jones · D. Lively · G. Williams
46,2024-01-27,,,Box Score,,Sacramento Kings,L,,115,120,25,21,L. Dončić · J. Green · J. Hardy · D. Lively · G. Williams
47,2024-01-29,,,Box Score,,Orlando Magic,W,,131,129,26,21,L. Dončić · J. Green · T. Hardaway · D. Lively · G. Williams
48,2024-01-31,,,Box Score,@,Minnesota Timberwolves,L,,87,121,26,22,J. Green · T. Hardaway · J. Hardy · R. Holmes · G. Williams
49,2024-02-03,,,Box Score,,Milwaukee Bucks,L,,117,129,26,23,L. Dončić · J. Green · D. Jones · M. Kleber · G. Williams
50,2024-02-05,,,Box Score,@,Philadelphia 76ers,W,,118,102,27,23,L. Dončić · J. Green · K. Irving · D. Jones · M. Kleber
51,2024-02-06,,,Box Score,@,Brooklyn Nets,W,,119,107,28,23,L. Dončić · J. Green · K. Irving · D. Jones · M. Kleber
52,2024-02-08,,,Box Score,@,New York Knicks,W,,122,108,29,23,L. Dončić · J. Green · K. Irving · D. Jones · M. Kleber
53,2024-02-10,,,Box Score,,Oklahoma City Thunder,W,,146,111,30,23,L. Dončić · J. Green · K. Irving · D. Jones · M. Kleber
54,2024-02-12,,,Box Score,,Washington Wizards,W,,112,104,31,23,L. Dončić · D. Gafford · J. Green · K. Irving · P. Washington
55,2024-02-14,,,Box Score,,San Antonio Spurs,W,,116,93,32,23,L. Dončić · D. Gafford · J. Green · K. Irving · P. Washington
56,2024-02-22,,,Box Score,,Phoenix Suns,W,,123,113,33,23,L. Dončić · J. Green · K. Irving · D. Lively · P. Washington
57,2024-02-25,,,Box Score,@,Indiana Pacers,L,,111,133,33,24,L. Dončić · J. Green · K. Irving · D. Lively · P. Washington
58,2024-02-27,,,Box Score,@,Cleveland Cavaliers,L,,119,121,33,25,L. Dončić · J. Green · K. Irving · D. Lively · P. Washington
59,2024-02-28,,,Box Score,@,Toronto Raptors,W,,136,125,34,25,L. Dončić · J. Green · K. Irving · D. Lively · P. Washington
60,2024-03-01,,,Box Score,@,Boston Celtics,L,,110,138,34,26,L. Dončić · J. Green · K. Irving · D. Lively · P. Washington
61,2024-03-03,,,Box Score,,Philadelphia 76ers,L,,116,120,34,27,L. Dončić · J. Green · K. Irving · D. Lively · P. Washington
62,2024-03-05,,,Box Score,,Indiana Pacers,L,,120,137,34,28,L. Dončić · J. Green · K. Irving · D. Lively · P. Washington
63,2024-03-07,,,Box Score,,Miami Heat,W,,114,108,35,28,L. Dončić · D. Gafford · K. Irving · D. Jones · P. Washington
64,2024-03-09,,,Box Score,@,Detroit Pistons,W,,142,124,36,28,L. Dončić · D. Gafford · K. Irving · D. Jones · P. Washington
65,2024-03-11,,,Box Score,@,Chicago Bulls,W,,127,92,37,28,L. Dončić · D. Gafford · K. Irving · D. Jones · P. Washington
66,2024-03-13,,,Box Score,,Golden State Warriors,W,,109,99,38,28,L. Dončić · D. Gafford · K. Irving · D. Jones · P. Washington
67,2024-03-14,,,Box Score,@,Oklahoma City Thunder,L,,119,126,38,29,D. Exum · D. Gafford · K. Irving · D. Jones · P. Washington
68,2024-03-17,,,Box Score,,Denver Nuggets,W,,107,105,39,29,L. Dončić · D. Gafford · K. Irving · D. Jones · P. Washington
69,2024-03-19,,,Box Score,@,San Antonio Spurs,W,,113,107,40,29,L. Dončić · D. Gafford · K. Irving · D. Jones · P. Washington
70,2024-03-21,,,Box Score,,Utah Jazz,W,,113,97,41,29,L. Dončić · D. Gafford · K. Irving · D. Jones · P. Washington
71,2024-03-25,,,Box Score,@,Utah Jazz,W,,115,105,42,29,L. Dončić · D. Gafford · K. Irving · D. Jones · P. Washington
72,2024-03-26,,,Box Score,@,Sacramento Kings,W,,132,96,43,29,L. Dončić · D. Gafford · K. Irving · D. Jones · P. Washington
73,2024-03-29,,,Box Score,@,Sacramento Kings,W,,107,103,44,29,L. Dončić · D. Gafford · K. Irving · D. Jones · P. Washington
74,2024-03-31,,,Box Score,@,Houston Rockets,W,,125,107,45,29,L. Dončić · D. Gafford · K. Irving · D. Jones · P. Washington
75,2024-04-02,,,Box Score,@,Golden State Warriors,L,,100,104,45,30,L. Dončić · D. Gafford · K. Irving · D. Jones · P. Washington
76,2024-04-04,,,Box Score,,Atlanta Hawks,W,,109,95,46,30,L. Dončić · D. Gafford · K. Irving · D. Jones · P. Washington
77,2024-04-05,,,Box Score,,Golden State Warriors,W,,108,106,47,30,D. Exum · D. Gafford · K. Irving · D. Jones · P. Washington
78,2024-04-07,,,Box Score,,Houston Rockets,W,OT,147,136,48,30,L. Dončić · D. Gafford · K. Irving · D. Jones · P. Washington
79,2024-04-09,,,Box Score,@,Charlotte Hornets,W,,130,104,49,30,L. Dončić · D. Gafford · K. Irving · D. Jones · P. Washington
80,2024-04-10,,,Box Score,@,Miami Heat,W,,111,92,50,30,L. Dončić · D. Gafford · K. Irving · D. Jones · P. Washington
81,2024-04-12,,,Box Score,,Detroit Pistons,L,,89,107,50,31,D. Exum · D. Gafford · T. Hardaway · D. Jones · P. Washington
82,2024-04-14,,,Box Score,@,Oklahoma City Thunder,L,,86,135,50,32,J. Green · T. Hardaway · J. Hardy · D. Powell · O. Prosper
