G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
58,2024-02-27,,,Box Score,@,Milwaukee Bucks,L,,85,123,15,43,M. Bridges · T. Mann · C. Martin · B. Miller · N. Richards
59,2024-02-29,,,Box Score,,Milwaukee Bucks,L,,99,111,15,44,M. Bridges · T. Mann · C. Martin · B. Miller · N. Richards
60,2024-03-01,,,Box Score,@,Philadelphia 76ers,L,,114,121,15,45,M. Bridges · S. Curry · T. Mann · C. Martin · N. Richards
61,2024-03-03,,,Box Score,@,Toronto Raptors,L,,106,111,15,46,M. Bridges · T. Mann · V. Micić · B. Miller · G. Williams
62,2024-03-05,,,Box Score,,Orlando Magic,L,,89,101,15,47,M. Bridges · T. Mann · V. Micić · B. Miller · N. Richards
63,2024-03-08,,,Box Score,@,Washington Wizards,L,,100,112,15,48,M. Bridges · V. Micić · B. Miller · N. Richards · G. Williams
64,2024-03-09,,,Box Score,,Brooklyn Nets,W,,110,99,16,48,M. Bridges · V. Micić · B. Miller · N. Richards · G. Williams
65,2024-03-11,,,Box Score,@,Detroit Pistons,L,,97,114,16,49,M. Bridges · V. Micić · B. Miller · N. Richards · G. Williams
66,2024-03-13,,,Box Score,@,Memphis Grizzlies,W,,110,98,17,49,M. Bridges · T. Mann · V. Micić · B. Miller · N. Richards
67,2024-03-15,,,Box Score,,Phoenix Suns,L,,96,107,17,50,M. Bridges · T. Mann · V. Micić · B. Miller · N. Richards
68,2024-03-16,,,Box Score,@,Philadelphia 76ers,L,,98,109,17,51,M. Bridges · T. Mann · V. Micić · B. Miller · N. Richards
69,2024-03-19,,,Box Score,@,Orlando Magic,L,,92,112,17,52,M. Bridges · T. Mann · V. Micić · B. Miller · N. Richards
70,2024-03-23,,,Box Score,@,Atlanta Hawks,L,,91,132,17,53,M. Bridges · T. Mann · V. Micić · B. Miller · N. Richards
71,2024-03-25,,,Box Score,@,Cleveland Cavaliers,L,,92,115,17,54,M. Bridges · T. Mann · V. Micić · B. Miller · N. Richards
72,2024-03-27,,,Box Score,,Cleveland Cavaliers,W,,118,111,18,54,M. Bridges · T. Mann · V. Micić · B. Miller · N. Richards
73,2024-03-29,,,Box Score,,Golden State Warriors,L,,97,115,18,55,M. Bridges · T. Mann · V. Micić · B. Miller · N. Richards
74,2024-03-31,,,Box Score,,Los Angeles Clippers,L,,118,130,18,56,M. Bridges · T. Mann · V. Micić · B. Miller · N. Richards
75,2024-04-01,,,Box Score,,Boston Celtics,L,,104,118,18,57,M. Bridges · T. Mann · V. Micić · B. Miller · G. Williams
76,2024-04-03,,,Box Score,,Portland Trail Blazers,L,,86,89,18,58,D. Bertāns · T. Mann · B. Miller · J. Thor · G. Williams
77,2024-04-05,,,Box Score,,Orlando Magic,W,,124,115,19,58,M. Bridges · T. Mann · V. Micić · B. Miller · G. Williams
78,2024-04-07,,,Box Score,,Oklahoma City Thunder,L,,118,121,19,59,M. Bridges · T. Mann · V. Micić · B. Miller · G. Williams
79,2024-04-09,,,Box Score,,Dallas Mavericks,L,,104,130,19,60,M. Bridges · T. Mann · V. Micić · B. Miller · G. Williams
80,2024-04-10,,,Box Score,@,Atlanta Hawks,W,,115,114,20,60,M. Bridges · T. Mann · V. Micić · B. Miller · G. Williams
81,2024-04-12,,,Box Score,@,Boston Celtics,L,,98,131,20,61,M. Bolden · M. Bridges · T. Mann · V. Micić · B. Miller
82,2024-04-14,,,Box Score,@,Cleveland Cavaliers,W,,120,110,21,61,M. Bolden · T. Mann · B. McGowens · V. Micić · J. Thor
