G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
14,2023-11-22,,,Box Score,@,Charlotte Hornets,L,,114,117,2,12,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
15,2023-11-24,,,Box Score,@,Milwaukee Bucks,L,,128,131,2,13,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
16,2023-11-25,,,Box Score,,Atlanta Hawks,L,,108,136,2,14,D. Avdija · D. Gafford · T. Jones · C. Kispert · K. Kuzma
17,2023-11-27,,,Box Score,@,Detroit Pistons,W,,126,107,3,14,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
18,2023-11-29,,,Box Score,@,Orlando Magic,L,,120,139,3,15,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
19,2023-12-01,,,Box Score,@,Orlando Magic,L,,125,130,3,16,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
20,2023-12-06,,,Box Score,,Philadelphia 76ers,L,,126,131,3,17,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
21,2023-12-08,,,Box Score,@,Brooklyn Nets,L,,97,124,3,18,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
22,2023-12-11,,,Box Score,@,Philadelphia 76ers,L,,101,146,3,19,D. Avdija · T. Jones · K. Kuzma · M. Muscala · J. Poole
23,2023-12-13,,,Box Score,,New Orleans Pelicans,L,,122,142,3,20,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
24,2023-12-15,,,Box Score,,Indiana Pacers,W,,137,123,4,20,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
25,2023-12-17,,,Box Score,@,Phoenix Suns,L,,108,112,4,21,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
26,2023-12-18,,,Box Score,@,Sacramento Kings,L,,131,143,4,22,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
27,2023-12-21,,,Box Score,@,Portland Trail Blazers,W,,118,117,5,22,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
28,2023-12-22,,,Box Score,@,Golden State Warriors,L,,118,129,5,23,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
29,2023-12-26,,,Box Score,,Orlando Magic,L,,119,127,5,24,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
30,2023-12-27,,,Box Score,,Toronto Raptors,L,,102,132,5,25,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
31,2023-12-29,,,Box Score,,Brooklyn Nets,W,,110,104,6,25,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
32,2023-12-31,,,Box Score,,Atlanta Hawks,L,,126,130,6,26,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
33,2024-01-03,,,Box Score,@,Cleveland Cavaliers,L,,101,140,6,27,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
34,2024-01-05,,,Box Score,@,Cleveland Cavaliers,L,,90,114,6,28,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
35,2024-01-06,,,Box Score,,New York Knicks,L,,105,121,6,29,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
36,2024-01-08,,,Box Score,,Oklahoma City Thunder,L,,128,136,6,30,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
37,2024-01-10,,,Box Score,@,Indiana Pacers,L,,104,112,6,31,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
38,2024-01-13,,,Box Score,@,Atlanta Hawks,W,,127,99,7,31,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
39,2024-01-15,,,Box Score,,Detroit Pistons,L,,117,129,7,32,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
40,2024-01-18,,,Box Score,@,New York Knicks,L,,109,113,7,33,D. Avdija · M. Bagley · T. Jones · K. Kuzma · J. Poole
41,2024-01-20,,,Box Score,,San Antonio Spurs,L,,127,131,7,34,D. Avdija · M. Bagley · T. Jones · K. Kuzma · J. Poole
42,2024-01-21,,,Box Score,,Denver Nuggets,L,,104,113,7,35,D. Avdija · D. Gafford · T. Jones · K. Kuzma · J. Poole
