G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
25,2023-12-16,,,Box Score,@,Golden State Warriors,L,,120,124,13,12,M. Bridges · N. Claxton · S. Dinwiddie · C. Johnson · C. Thomas
26,2023-12-18,,,Box Score,@,Utah Jazz,L,,108,125,13,13,M. Bridges · N. Claxton · S. Dinwiddie · C. Johnson · C. Thomas
27,2023-12-20,,,Box Score,,New York Knicks,L,,102,121,13,14,M. Bridges · N. Claxton · S. Dinwiddie · C. Johnson · C. Thomas
28,2023-12-22,,,Box Score,,Denver Nuggets,L,,117,122,13,15,M. Bridges · N. Claxton · S. Dinwiddie · C. Johnson · C. Thomas
29,2023-12-23,,,Box Score,,Detroit Pistons,W,,126,115,14,15,M. Bridges · N. Claxton · S. Dinwiddie · C. Johnson · C. Thomas
30,2023-12-26,,,Box Score,@,Detroit Pistons,W,,118,112,15,15,M. Bridges · N. Claxton · S. Dinwiddie · C. Johnson · C. Thomas
31,2023-12-27,,,Box Score,,Milwaukee Bucks,L,,122,144,15,16,M. Bridges · R. O'Neale · D. Sharpe · D. Smith · C. Thomas
32,2023-12-29,,,Box Score,@,Washington Wizards,L,,104,110,15,17,M. Bridges · N. Claxton · S. Dinwiddie · D. Finney-Smith · C. Johnson
33,2023-12-31,,,Box Score,@,Oklahoma City Thunder,L,,108,124,15,18,M. Bridges · N. Claxton · S. Dinwiddie · D. Finney-Smith · C. Johnson
34,2024-01-02,,,Box Score,@,New Orleans Pelicans,L,,85,112,15,19,M. Bridges · N. Claxton · S. Dinwiddie · D. Finney-Smith · C. Johnson
35,2024-01-03,,,Box Score,@,Houston Rockets,L,,101,112,15,20,M. Bridges · N. Claxton · S. Dinwiddie · D. Finney-Smith · C. Johnson
36,2024-01-05,,,Box Score,,Oklahoma City Thunder,W,,124,115,16,20,M. Bridges · N. Claxton · S. Dinwiddie · D. Finney-Smith · C. Johnson
