G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
62,2024-03-05,,,Box Score,@,Charlotte Hornets,W,,101,89,36,26,P. Banchero · W. Carter · G. Harris · J. Suggs · F. Wagner
63,2024-03-06,,,Box Score,@,Washington Wizards,W,,119,109,37,26,P. Banchero · G. Bitadze · A. Black · J. Suggs · F. Wagner
64,2024-03-08,,,Box Score,@,New York Knicks,L,,74,98,37,27,P. Banchero · A. Black · W. Carter · G. Harris · F. Wagner
65,2024-03-10,,,Box Score,,Indiana Pacers,L,,97,111,37,28,P. Banchero · W. Carter · G. Harris · C. Houstan · F. Wagner
66,2024-03-13,,,Box Score,,Brooklyn Nets,W,,114,106,38,28,P. Banchero · W. Carter · G. Harris · J. Suggs · F. Wagner
67,2024-03-15,,,Box Score,@,Toronto Raptors,W,,113,103,39,28,P. Banchero · W. Carter · G. Harris · J. Suggs · F. Wagner
68,2024-03-17,,,Box Score,,Toronto Raptors,W,,111,96,40,28,P. Banchero · W. Carter · G. Harris · J. Suggs · F. Wagner
69,2024-03-19,,,Box Score,,Charlotte Hornets,W,,112,92,41,28,P. Banchero · W. Carter · G. Harris · J. Suggs · F. Wagner
70,2024-03-21,,,Box Score,,New Orleans Pelicans,W,,121,106,42,28,P. Banchero · W. Carter · G. Harris · J. Suggs · F. Wagner
71,2024-03-23,,,Box Score,,Sacramento Kings,L,,107,109,42,29,P. Banchero · W. Carter · C. Houstan · J. Suggs · F. Wagner
72,2024-03-27,,,Box Score,,Golden State Warriors,L,,93,101,42,30,P. Banchero · W. Carter · M. Fultz · J. Suggs · F. Wagner
73,2024-03-29,,,Box Score,,Los Angeles Clippers,L,,97,100,42,31,P. Banchero · W. Carter · G. Harris · J. Suggs · F. Wagner
74,2024-03-30,,,Box Score,,Memphis Grizzlies,W,,118,88,43,31,P. Banchero · W. Carter · C. Houstan · J. Suggs · F. Wagner
75,2024-04-01,,,Box Score,,Portland Trail Blazers,W,,104,103,44,31,P. Banchero · W. Carter · G. Harris · J. Suggs · F. Wagner
76,2024-04-03,,,Box Score,@,New Orleans Pelicans,W,,117,108,45,31,P. Banchero · W. Carter · G. Harris · J. Suggs · F. Wagner
77,2024-04-05,,,Box Score,@,Charlotte Hornets,L,,115,124,45,32,P. Banchero · W. Carter · G. Harris · J. Suggs · F. Wagner
78,2024-04-07,,,Box Score,,Chicago Bulls,W,,113,98,46,32,P. Banchero · W. Carter · G. Harris · J. Suggs · F. Wagner
79,2024-04-09,,,Box Score,@,Houston Rockets,L,,106,118,46,33,P. Banchero · W. Carter · M. Fultz · G. Harris · J. Suggs
80,2024-04-10,,,Box Score,@,Milwaukee Bucks,L,,99,117,46,34,P. Banchero · W. Carter · M. Fultz · C. Houstan · J. Suggs
81,2024-04-12,,,Box Score,@,Philadelphia 76ers,L,,113,125,46,35,P. Banchero · W. Carter · G. Harris · J. Suggs · F. Wagner
82,2024-04-14,,,Box Score,,Milwaukee Bucks,W,,113,88,47,35,P. Banchero · G. Harris · J. Isaac · J. Suggs · F. Wagner
