G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
60,2024-02-29,,,Box Score,,Miami Heat,W,,103,97,41,19,K. Caldwell-Pope · A. Gordon · N. Jokić · J. Murray · M. Porter
61,2024-03-02,,,Box Score,@,Los Angeles Lakers,W,,124,114,42,19,C. Braun · A. Gordon · N. Jokić · J. Murray · M. Porter
62,2024-03-05,,,Box Score,,Phoenix Suns,L,OT,107,117,42,20,K. Caldwell-Pope · A. Gordon · N. Jokić · J. Murray · M. Porter
63,2024-03-07,,,Box Score,,Boston Celtics,W,,115,109,43,20,K. Caldwell-Pope · A. Gordon · N. Jokić · J. Murray · M. Porter
64,2024-03-09,,,Box Score,,Utah Jazz,W,,142,121,44,20,K. Caldwell-Pope · A. Gordon · N. Jokić · J. Murray · M. Porter
65,2024-03-11,,,Box Score,,Toronto Raptors,W,,125,119,45,20,K. Caldwell-Pope · A. Gordon · N. Jokić · J. Murray · M. Porter
66,2024-03-13,,,Box Score,@,Miami Heat,W,,100,88,46,20,K. Caldwell-Pope · A. Gordon · N. Jokić · J. Murray · M. Porter
67,2024-03-15,,,Box Score,@,San Antonio Spurs,W,,117,106,47,20,K. Caldwell-Pope · A. Gordon · N. Jokić · J. Murray · M. Porter
68,2024-03-17,,,Box Score,@,Dallas Mavericks,L,,105,107,47,21,K. Caldwell-Pope · A. Gordon · N. Jokić · J. Murray · M. Porter
69,2024-03-19,,,Box Score,@,Minnesota Timberwolves,W,,115,112,48,21,K. Caldwell-Pope · A. Gordon · N. Jokić · J. Murray · M. Porter
70,2024-03-21,,,Box Score,,New York Knicks,W,,113,100,49,21,K. Caldwell-Pope · A. Gordon · N. Jokić · J. Murray · M. Porter
71,2024-03-23,,,Box Score,@,Portland Trail Blazers,W,,114,111,50,21,K. Caldwell-Pope · A. Gordon · R. Jackson · D. Jordan · M. Porter
72,2024-03-25,,,Box Score,,Memphis Grizzlies,W,,128,103,51,21,C. Braun · K. Caldwell-Pope · R. Jackson · N. Jokić · M. Porter
73,2024-03-27,,,Box Score,,Phoenix Suns,L,,97,104,51,22,K. Caldwell-Pope · A. Gordon · R. Jackson · N. Jokić · M. Porter
74,2024-03-29,,,Box Score,,Minnesota Timberwolves,L,,98,111,51,23,K. Caldwell-Pope · A. Gordon · R. Jackson · N. Jokić · M. Porter
75,2024-03-31,,,Box Score,,Cleveland Cavaliers,W,,130,101,52,23,K. Caldwell-Pope · A. Gordon · R. Jackson · N. Jokić · M. Porter
76,2024-04-02,,,Box Score,,San Antonio Spurs,W,,110,105,53,23,K. Caldwell-Pope · A. Gordon · R. Jackson · N. Jokić · M. Porter
77,2024-04-04,,,Box Score,@,Los Angeles Clippers,L,,100,102,53,24,K. Caldwell-Pope · A. Gordon · R. Jackson · N. Jokić · M. Porter
78,2024-04-06,,,Box Score,,Atlanta Hawks,W,,142,110,54,24,C. Braun · K. Caldwell-Pope · N. Jokić · J. Murray · M. Porter
79,2024-04-09,,,Box Score,@,Utah Jazz,W,,111,95,55,24,C. Braun · K. Caldwell-Pope · N. Jokić · J. Murray · M. Porter
80,2024-04-10,,,Box Score,,Minnesota Timberwolves,W,,116,107,56,24,K. Caldwell-Pope · A. Gordon · N. Jokić · J. Murray · M. Porter
81,2024-04-12,,,Box Score,@,San Antonio Spurs,L,,120,121,56,25,K. Caldwell-Pope · A. Gordon · N. Jokić · J. Murray · M. Porter
82,2024-04-14,,,Box Score,@,Memphis Grizzlies,W,,126,111,57,25,K. Caldwell-Pope · A. Gordon · N. Jokić · J. Murray · M. Porter
