G,Date,,,,,Opponent,,,Tm,Opp,W,L,Starting Lineup
21,2023-12-08,,,Box Score,,Golden State Warriors,W,OT,138,136,14,7,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · J. Williams
22,2023-12-11,,,Box Score,,Utah Jazz,W,,134,120,15,7,J. Giddey · S. Gilgeous-Alexander · C. Holmgren · C. Wallace · J. Williams
23,2023-12-14,,,Box Score,@,Sacramento Kings,L,,123,128,15,8,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · J. Williams
24,2023-12-16,,,Box Score,@,Denver Nuggets,W,,118,117,16,8,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · J. Williams
25,2023-12-18,,,Box Score,,Memphis Grizzlies,W,,116,97,17,8,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · J. Williams
26,2023-12-21,,,Box Score,,Los Angeles Clippers,W,,134,115,18,8,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · J. Williams
27,2023-12-23,,,Box Score,,Los Angeles Lakers,L,,120,129,18,9,L. Dort · S. Gilgeous-Alexander · C. Holmgren · C. Wallace · J. Williams
28,2023-12-26,,,Box Score,,Minnesota Timberwolves,W,,129,106,19,9,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · J. Williams
29,2023-12-27,,,Box Score,,New York Knicks,W,,129,120,20,9,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · J. Williams
30,2023-12-29,,,Box Score,@,Denver Nuggets,W,,119,93,21,9,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · J. Williams
31,2023-12-31,,,Box Score,,Brooklyn Nets,W,,124,108,22,9,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · J. Williams
32,2024-01-02,,,Box Score,,Boston Celtics,W,,127,123,23,9,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · J. Williams
33,2024-01-03,,,Box Score,@,Atlanta Hawks,L,,138,141,23,10,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · J. Williams
34,2024-01-05,,,Box Score,@,Brooklyn Nets,L,,115,124,23,11,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · J. Williams
35,2024-01-08,,,Box Score,@,Washington Wizards,W,,136,128,24,11,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · J. Williams
36,2024-01-10,,,Box Score,@,Miami Heat,W,,128,120,25,11,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · J. Williams
37,2024-01-11,,,Box Score,,Portland Trail Blazers,W,,139,77,26,11,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · J. Williams
38,2024-01-13,,,Box Score,,Orlando Magic,W,,112,100,27,11,L. Dort · J. Giddey · S. Gilgeous-Alexander · C. Holmgren · J. Williams
