Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Fri Feb 12 2021,10:00p,Memphis Grizzlies,105,Los Angeles Lakers,115,Box Score,,0,2:25,STAPLES Center,
Fri Feb 12 2021,10:00p,Cleveland Cavaliers,110,Portland Trail Blazers,129,Box Score,,0,2:12,Moda Center,
Fri Feb 12 2021,10:00p,Orlando Magic,123,Sacramento Kings,112,Box Score,,0,2:01,Golden 1 Center,
Sat Feb 13 2021,3:00p,Philadelphia 76ers,111,Phoenix Suns,120,Box Score,,1652,2:13,Phoenix Suns Arena,
Sat Feb 13 2021,7:30p,Indiana Pacers,125,Atlanta Hawks,113,Box Score,,1393,2:10,State Farm Arena,
Sat Feb 13 2021,8:00p,Houston Rockets,99,New York Knicks,121,Box Score,,0,2:06,Madison Square Garden (IV),
Sat Feb 13 2021,8:30p,Brooklyn Nets,134,Golden State Warriors,117,Box Score,,0,2:08,Chase Center,
Sat Feb 13 2021,9:00p,Miami Heat,94,Utah Jazz,112,Box Score,,3902,2:09,Vivint Smart Home Arena,
Sun Feb 14 2021,1:00p,Boston Celtics,91,Washington Wizards,104,Box Score,,0,2:19,Capital One Arena,
Sun Feb 14 2021,7:00p,San Antonio Spurs,122,Charlotte Hornets,110,Box Score,,0,2:06,Spectrum Center,
Sun Feb 14 2021,7:00p,New Orleans Pelicans,112,Detroit Pistons,123,Box Score,,0,2:18,Little Caesars Arena,
Sun Feb 14 2021,7:00p,Minnesota Timberwolves,116,Toronto Raptors,112,Box Score,,0,2:26,Amalie Arena,
Sun Feb 14 2021,7:30p,Portland Trail Blazers,121,Dallas Mavericks,118,Box Score,,2211,2:30,American Airlines Center,
Sun Feb 14 2021,8:00p,Milwaukee Bucks,109,Oklahoma City Thunder,114,Box Score,,0,2:03,Chesapeake Energy Arena,
Sun Feb 14 2021,9:00p,Orlando Magic,90,Phoenix Suns,109,Box Score,,1732,1:54,Phoenix Suns Arena,
Sun Feb 14 2021,10:00p,Los Angeles Lakers,105,Denver Nuggets,122,Box Score,,0,2:21,Ball Arena,
Sun Feb 14 2021,10:00p,Cleveland Cavaliers,111,Los Angeles Clippers,128,Box Score,,0,2:13,STAPLES Center,
