Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Sun May 9 2021,8:00p,Chicago Bulls,108,Detroit Pistons,96,Box Score,,750,2:12,Little Caesars Arena,
Sun May 9 2021,10:00p,Phoenix Suns,110,Los Angeles Lakers,123,Box Score,,3144,2:28,STAPLES Center,
Sun May 9 2021,10:00p,Oklahoma City Thunder,98,Sacramento Kings,126,Box Score,,0,2:05,Golden 1 Center,
Mon May 10 2021,7:30p,Washington Wizards,124,Atlanta Hawks,125,Box Score,,3054,2:06,State Farm Arena,
Mon May 10 2021,7:30p,Indiana Pacers,111,Cleveland Cavaliers,102,Box Score,,4148,2:09,Rocket Mortgage Fieldhouse,
Mon May 10 2021,8:00p,New Orleans Pelicans,110,Memphis Grizzlies,115,Box Score,,2507,2:23,FedEx Forum,
Mon May 10 2021,8:30p,Milwaukee Bucks,125,San Antonio Spurs,146,Box Score,,3992,2:03,AT&T Center,
Mon May 10 2021,10:00p,Utah Jazz,116,Golden State Warriors,119,Box Score,,4155,2:15,Chase Center,
Mon May 10 2021,10:00p,Houston Rockets,129,Portland Trail Blazers,140,Box Score,,1939,2:19,Moda Center,
Tue May 11 2021,7:00p,Denver Nuggets,117,Charlotte Hornets,112,Box Score,,3997,2:16,Spectrum Center,
Tue May 11 2021,7:00p,Minnesota Timberwolves,119,Detroit Pistons,100,Box Score,,750,2:11,Little Caesars Arena,
Tue May 11 2021,7:30p,Miami Heat,129,Boston Celtics,121,Box Score,,4789,2:24,TD Garden,
Tue May 11 2021,7:30p,Los Angeles Clippers,115,Toronto Raptors,96,Box Score,,0,2:11,Amalie Arena,
Tue May 11 2021,8:00p,Brooklyn Nets,115,Chicago Bulls,107,Box Score,,3434,2:11,United Center,
Tue May 11 2021,8:00p,Philadelphia 76ers,94,Indiana Pacers,103,Box Score,,0,2:07,Bankers Life Fieldhouse,
Tue May 11 2021,8:00p,Dallas Mavericks,104,Memphis Grizzlies,133,Box Score,,2684,2:06,FedEx Forum,
Tue May 11 2021,9:00p,Orlando Magic,102,Milwaukee Bucks,114,Box Score,,3280,2:09,Fiserv Forum,
Tue May 11 2021,10:00p,Phoenix Suns,116,Golden State Warriors,122,Box Score,,4155,2:11,Chase Center,
Tue May 11 2021,10:00p,New York Knicks,99,Los Angeles Lakers,101,Box Score,OT,3550,2:44,STAPLES Center,
Tue May 11 2021,10:00p,Oklahoma City Thunder,106,Sacramento Kings,122,Box Score,,0,2:07,Golden 1 Center,
Wed May 12 2021,7:00p,Washington Wizards,116,Atlanta Hawks,120,Box Score,,3120,2:19,State Farm Arena,
Wed May 12 2021,8:00p,San Antonio Spurs,116,Brooklyn Nets,128,Box Score,,1773,2:10,Barclays Center,
