Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Mon Jan 11 2021,7:00p,Milwaukee Bucks,121,Orlando Magic,99,Box Score,,3248,2:05,Amway Center,
Mon Jan 11 2021,7:00p,Phoenix Suns,107,Washington Wizards,128,Box Score,,0,2:12,Capital One Arena,
Mon Jan 11 2021,7:30p,Philadelphia 76ers,94,Atlanta Hawks,112,Box Score,,0,2:01,State Farm Arena,
Mon Jan 11 2021,10:00p,Toronto Raptors,111,Portland Trail Blazers,112,Box Score,,0,2:06,Moda Center,
Mon Jan 11 2021,10:00p,Indiana Pacers,122,Sacramento Kings,127,Box Score,,0,2:19,Golden 1 Center,
Tue Jan 12 2021,7:00p,Miami Heat,134,Philadelphia 76ers,137,Box Score,OT,0,2:40,Wells Fargo Center,
Tue Jan 12 2021,7:30p,Denver Nuggets,116,Brooklyn Nets,122,Box Score,,0,2:06,Barclays Center,
Tue Jan 12 2021,7:30p,Utah Jazz,117,Cleveland Cavaliers,87,Box Score,,1944,1:57,Rocket Mortgage Fieldhouse,
Tue Jan 12 2021,8:00p,Los Angeles Lakers,117,Houston Rockets,100,Box Score,,3221,2:08,Toyota Center,
Tue Jan 12 2021,8:00p,San Antonio Spurs,112,Oklahoma City Thunder,102,Box Score,,0,2:09,Chesapeake Energy Arena,
Tue Jan 12 2021,10:30p,Indiana Pacers,104,Golden State Warriors,95,Box Score,,0,2:23,Chase Center,
Wed Jan 13 2021,7:00p,Dallas Mavericks,104,Charlotte Hornets,93,Box Score,,0,2:02,Spectrum Center,
Wed Jan 13 2021,7:00p,Milwaukee Bucks,110,Detroit Pistons,101,Box Score,,0,2:05,Little Caesars Arena,
Wed Jan 13 2021,7:30p,Brooklyn Nets,116,New York Knicks,109,Box Score,,0,2:07,Madison Square Garden (IV),
Wed Jan 13 2021,8:00p,Memphis Grizzlies,118,Minnesota Timberwolves,107,Box Score,,0,2:13,Target Center,
Wed Jan 13 2021,8:00p,Los Angeles Lakers,128,Oklahoma City Thunder,99,Box Score,,0,2:05,Chesapeake Energy Arena,
Wed Jan 13 2021,10:00p,New Orleans Pelicans,106,Los Angeles Clippers,111,Box Score,,0,2:12,STAPLES Center,
Wed Jan 13 2021,10:00p,Portland Trail Blazers,132,Sacramento Kings,126,Box Score,,0,2:15,Golden 1 Center,
Thu Jan 14 2021,7:00p,Miami Heat,108,Philadelphia 76ers,125,Box Score,,0,2:14,Wells Fargo Center,
Thu Jan 14 2021,7:30p,Houston Rockets,109,San Antonio Spurs,105,Box Score,,0,2:18,AT&T Center,
Thu Jan 14 2021,7:30p,Charlotte Hornets,108,Toronto Raptors,111,Box Score,,0,2:05,Amalie Arena,
Thu Jan 14 2021,10:00p,Golden State Warriors,104,Denver Nuggets,114,Box Score,,0,2:14,Ball Arena,
Thu Jan 14 2021,10:00p,Indiana Pacers,111,Portland Trail Blazers,87,Box Score,,0,2:04,Moda Center,
Fri Jan 15 2021,7:30p,Orlando Magic,97,Boston Celtics,124,Box Score,,0,2:05,TD Garden,
Fri Jan 15 2021,7:30p,New York Knicks,103,Cleveland Cavaliers,106,Box Score,,1944,2:13,Rocket Mortgage Fieldhouse,
Fri Jan 15 2021,7:30p,Dallas Mavericks,109,Milwaukee Bucks,112,Box Score,,0,2:21,Fiserv Forum,
Fri Jan 15 2021,8:00p,Chicago Bulls,125,Oklahoma City Thunder,127,Box Score,OT,0,2:26,Chesapeake Energy Arena,
Fri Jan 15 2021,9:00p,Atlanta Hawks,92,Utah Jazz,116,Box Score,,1932,2:06,Vivint Smart Home Arena,
Fri Jan 15 2021,10:00p,New Orleans Pelicans,95,Los Angeles Lakers,112,Box Score,,0,2:19,STAPLES Center,
Fri Jan 15 2021,10:00p,Los Angeles Clippers,138,Sacramento Kings,100,Box Score,,0,2:01,Golden 1 Center,
Sat Jan 16 2021,5:00p,Houston Rockets,91,San Antonio Spurs,103,Box Score,,0,2:12,AT&T Center,
Sat Jan 16 2021,6:00p,Orlando Magic,115,Brooklyn Nets,122,Box Score,,0,2:13,Barclays Center,
Sat Jan 16 2021,7:30p,Charlotte Hornets,113,Toronto Raptors,116,Box Score,,0,2:19,Amalie Arena,
Sat Jan 16 2021,8:00p,Philadelphia 76ers,104,Memphis Grizzlies,106,Box Score,,206,2:16,FedEx Forum,
Sat Jan 16 2021,8:00p,Detroit Pistons,120,Miami Heat,100,Box Score,,0,2:20,AmericanAirlines Arena,
