Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Wed Mar 3 2021,8:30p,Oklahoma City Thunder,78,Dallas Mavericks,87,Box Score,,3508,2:06,American Airlines Center,
Wed Mar 3 2021,10:00p,Golden State Warriors,106,Portland Trail Blazers,108,Box Score,,0,2:13,Moda Center,
Wed Mar 3 2021,10:00p,Los Angeles Lakers,120,Sacramento Kings,123,Box Score,,0,2:18,Golden 1 Center,
Thu Mar 4 2021,7:00p,Toronto Raptors,125,Boston Celtics,132,Box Score,,0,2:16,TD Garden,
Thu Mar 4 2021,7:00p,Los Angeles Clippers,117,Washington Wizards,119,Box Score,,0,2:28,Capital One Arena,
Thu Mar 4 2021,7:30p,Detroit Pistons,104,New York Knicks,114,Box Score,,1981,2:04,Madison Square Garden (IV),
Thu Mar 4 2021,8:00p,Denver Nuggets,113,Indiana Pacers,103,Box Score,,0,2:05,Bankers Life Fieldhouse,
Thu Mar 4 2021,8:00p,Milwaukee Bucks,112,Memphis Grizzlies,111,Box Score,,1961,2:20,FedEx Forum,
Thu Mar 4 2021,8:30p,Miami Heat,103,New Orleans Pelicans,93,Box Score,,2700,2:18,Smoothie King Center,
Thu Mar 4 2021,9:00p,Oklahoma City Thunder,107,San Antonio Spurs,102,Box Score,,1000,2:07,AT&T Center,
Thu Mar 4 2021,10:00p,Golden State Warriors,98,Phoenix Suns,120,Box Score,,3233,1:59,Phoenix Suns Arena,
Thu Mar 4 2021,10:00p,Sacramento Kings,119,Portland Trail Blazers,123,Box Score,,0,2:27,Moda Center,
Wed Mar 10 2021,8:00p,Washington Wizards,112,Memphis Grizzlies,127,Box Score,,1912,2:14,FedEx Forum,
Wed Mar 10 2021,8:30p,San Antonio Spurs,104,Dallas Mavericks,115,Box Score,,3813,2:13,American Airlines Center,
Thu Mar 11 2021,7:00p,Detroit Pistons,102,Charlotte Hornets,105,Box Score,,0,2:08,Spectrum Center,
Thu Mar 11 2021,7:30p,Boston Celtics,109,Brooklyn Nets,121,Box Score,,1374,2:21,Barclays Center,
Thu Mar 11 2021,7:30p,Atlanta Hawks,121,Toronto Raptors,120,Box Score,,0,2:25,Amalie Arena,
Thu Mar 11 2021,8:00p,Philadelphia 76ers,127,Chicago Bulls,105,Box Score,,0,2:01,United Center,
Thu Mar 11 2021,8:00p,Orlando Magic,103,Miami Heat,111,Box Score,,0,2:07,AmericanAirlines Arena,
Thu Mar 11 2021,8:00p,New York Knicks,101,Milwaukee Bucks,134,Box Score,,1800,2:06,Fiserv Forum,
Thu Mar 11 2021,8:00p,Minnesota Timberwolves,135,New Orleans Pelicans,105,Box Score,,3700,2:13,Smoothie King Center,
Thu Mar 11 2021,9:00p,Dallas Mavericks,108,Oklahoma City Thunder,116,Box Score,,0,2:17,Chesapeake Energy Arena,
Thu Mar 11 2021,10:00p,Golden State Warriors,104,Los Angeles Clippers,130,Box Score,,0,2:15,STAPLES Center,
Thu Mar 11 2021,10:00p,Phoenix Suns,127,Portland Trail Blazers,121,Box Score,,0,2:06,Moda Center,
Thu Mar 11 2021,10:00p,Houston Rockets,105,Sacramento Kings,125,Box Score,,0,2:14,Golden 1 Center,
Fri Mar 12 2021,8:00p,Denver Nuggets,103,Memphis Grizzlies,102,Box Score,,2160,2:02,FedEx Forum,
Fri Mar 12 2021,8:00p,Cleveland Cavaliers,82,New Orleans Pelicans,116,Box Score,,3700,2:01,Smoothie King Center,
Fri Mar 12 2021,8:00p,Philadelphia 76ers,127,Washington Wizards,101,Box Score,,0,2:03,Capital One Arena,
Fri Mar 12 2021,9:00p,Miami Heat,101,Chicago Bulls,90,Box Score,,0,2:00,United Center,
Fri Mar 12 2021,9:00p,Orlando Magic,77,San Antonio Spurs,104,Box Score,,3241,2:02,AT&T Center,
